"","season","season_avg","season_obp","season_slg","season_ops","num_hr","hr_rate","bb_pct","k_pct","bb_k_ratio","sac_rate","three_true"
"116",1986,0.258,0.323,0.395,0.718,3813,0.0237041365676559,0.0884444665481356,0.153588879632968,0.575852019752287,0.00941824466299469,0.26573748274876
"117",1987,0.263,0.328,0.415,0.743,4458,0.0275317745581206,0.088863773915836,0.15500673163622,0.573289772500896,0.00898580798162078,0.271402280110177
"118",1988,0.254,0.315,0.378,0.693,3180,0.0199523152214832,0.0814656795080939,0.146536579244573,0.555940912010276,0.0102271301292508,0.24795457397415
"119",1989,0.254,0.316,0.375,0.691,3083,0.019264776639818,0.0845325651584361,0.147782019958384,0.572008456659619,0.0101604044165891,0.251579361756638
"120",1990,0.258,0.321,0.385,0.706,3317,0.0206903864866888,0.0864043514059732,0.148787394895082,0.580723598708758,0.00972454402554954,0.255882132787744
"121",1991,0.256,0.32,0.385,0.705,3383,0.0210456247744889,0.0869943886628594,0.151730058601769,0.573349733497335,0.0101091162455053,0.259770072039118
"122",1992,0.256,0.319,0.377,0.696,3038,0.018923043383475,0.0852222118409169,0.146613099131085,0.581272835415073,0.0103709240399888,0.250758354355477
"123",1993,0.265,0.329,0.403,0.732,4030,0.0230860887697349,0.0865585114914874,0.150718361174125,0.574306347396427,0.0103744185513623,0.260362961435347
"124",1994,0.27,0.335,0.424,0.759,3306,0.0265578432396391,0.0894178321537881,0.158784733658411,0.5631387230598,0.00969610308234859,0.274760409051838
"125",1995,0.267,0.335,0.417,0.752,4081,0.0260428964346566,0.0908725423252905,0.162249605942452,0.56007866273353,0.00950205165185095,0.279165044702399
"126",1996,0.27,0.337,0.427,0.764,4962,0.0279926210503156,0.0907870315523437,0.165338117239551,0.549099222055412,0.00871031981090031,0.28411776984221
"127",1997,0.267,0.334,0.419,0.753,4640,0.0264325713081274,0.0892441082140355,0.17054135501108,0.523298927748271,0.0089836562398528,0.286218034533243
"128",1998,0.266,0.332,0.42,0.752,5064,0.0268955407788235,0.087352085147968,0.169393044549723,0.515676929830062,0.00905546939729345,0.283640670476514
"129",1999,0.271,0.342,0.434,0.776,5528,0.0291419775214558,0.0943160491744512,0.164050144444679,0.574922073331405,0.00845054087678974,0.287508171140586
"130",2000,0.27,0.342,0.437,0.779,5693,0.0299220544410047,0.0958525394063944,0.164805188661891,0.581611174894757,0.00855666689442398,0.29057978250929
"131",2001,0.264,0.329,0.427,0.756,5458,0.0291909122026356,0.0845349135717953,0.173305664898169,0.487779286507839,0.0085946859489988,0.2870314906726
"132",2002,0.261,0.328,0.417,0.745,5059,0.0271068198379699,0.087059025247546,0.168218740623259,0.51753463927377,0.0087498392558618,0.282384585708775
"133",2003,0.264,0.33,0.422,0.752,5207,0.0277765923396991,0.0847594153419396,0.164317721113838,0.515826380547349,0.00867385042142324,0.276853728795476
